doc_id,content,gid,gname
10001,원룸 집사 아침 인덕션 냄비 타고 집도 불날 퇴근 연기 환기 자고 머리 도아 고양이 시간 동안 고양이 현재 문제 병원 걱정,0,알수없는그룹
10002,개월 아비시니안 수컷 이틀 한번 끙아 쌀때 병원 진료 원인 배변 활동 습관 문제 유산균 먹이 지금 유산균 복용 이구 처음 병원 사이언스 힐스 사서 물이 리얼 피더 스캣 유산균 사료 재적 부담 츄르 먹이 지금 리얼 피더 거의 다른 유산균 주문 젠틀 다이제스트 처음 역시 다시 츄르 질문 고양이 몸무게 수컷 중성 완료 처음 중성 지금 다시 정도 몸무게 유지 아비시니안 혹시 위장 장애 영양가 사료 추천 현재 네이쳐 버라이어티 생식 본능 먹이 유산균 츄르 유산균 츄르 한번 정도 다른 추천 정보 사진 애기 사진 이구 사진 최근 사진,5,그룹5
10003,요즘 저희 고양이 나이 둘째 동생 입양 마음 예전 개월 나이 강아지 주정 크기 동생 핸드 입양 고민 기본 화장실 식탁 사료 준비 둘째 분양 보호 지금 항체 검사 사전 혹시 가량 호텔 입양 마음 여러 고민,5,그룹5
10004,치가 정도 수액 시간 정도 수술 일시 스트레스 당뇨 일수 철렁 다시 검사 겠닥 말씀 길냥이 저희 적응 오늘 중성 혈액 검사 이동 진료 한바탕 구속복 혈액 걱정,2,그룹2
10005,얼마 저희 고양이 갑자기 소리 자리 병원 댓글 병원 정말 변비 의사 선생님 글루밍 병원 회사 병원 새벽 정말 의사 선생님 고생 병원 마취 관장 식염수 무르 항문 아이 고통 마취 항문 손가락 정말 혹시 아이 변비 병원 방법 다른 방법 치료 고다 가지 사람 관장 식염수 항문 주입 자기 직접 아이 길냥이 구조 아이 사람 발톱 목욕 병원 유인 방법 특이 케이스 관장 유산균 변비 간식 먹이 간식 프라이 먹이 가정 회사 누가 화장실 수가 확인 혹시 뭔가 방법 만성 변비 답변 빵빵 사료 조금 달라 누나 사료 즐거움 주말 병원 관장 변비 치료 해주시 병원 추천 서울 구로 신림 서쪽 제발 저희 아이 변비,5,그룹5
10006,고양이 여러가지 행동 이유 우선 저희 낭만 개월 차로 로얄 캐닌 사료 자율 급식 주전 검사 결과 수치 간수치 간장 검사 결과 간수치 수치 검사 결과 최근 사료 평소 주지 간식 수량 츄르 주기도 캣만두 주식 주구 사료 자율 급식 행동 사료 애가 어제 갑자기 입도 안대 간식 계속 낚시 반응 캣만 사료 캣만두 혹시 츄르 몇번 도대체 행동 참고 주식 원래 식욕 갑자기 간식 사료 대한 흥미 다시 사료 흥미 혹시 사료 오리 구매 투명 유리 그릇 매일 군데 몇번 화장실 때문 두부 모래 다시 모래 모래 맛동산 검사 결과 로만 진짜 도통 도대체 제일,5,그룹5
10007,둘째 아리 첫째 아랑 변기 훈련 아리 화장실 바로 욕실 훈련 나비 누기 소변 누길 천재 랜덤 세면대 소변 대변 기도 나비 도해 첫째 욕실 바닥 하수 대변 소변 나비 두부 모래 마음 벤토 여러가지 이유 사용 소변 세면대 구멍 조준 하진 아리 화장실 그냥 세면대 소변 해도,5,그룹5
10008,목포 집사 저희 둘째 요로 지금 목포 병원 수술 어제 상태 기미 보이 지방 입원 수술 당일 데리 병원 혈액 문제 엑스레이 슬러지 안보 방광 모양 정상 시술 증상 보고 일주일 몇번 경우 최악 경우 요로 절제 수술 수술 광주 병원 아이 모습 바로 병원 가야 고민 경험 조언 광주 시설 동물병원 추천 요로 절제 수술 경험 비용 회복 기간 등등 정보,2,그룹2
10009,고양이 카페 어딧는,0,알수없는그룹
10010,시기 장난 치면 걱정 건가 병원,0,알수없는그룹
